Rank,Market,Region,Investment_Performance,Market_Fundamentals,Listed_Vehicles,Regulatory_and_Legal,Transaction_Process,Composite_Score
88,パキスタン,中東・北アフリカ,4.3,4.6,3.3,3.4,4.2,4.0
89,オマーン,中東・北アフリカ,4.5,4.6,5.0,3.4,3.2,4.0
90,ウガンダ,アフリカ大陸,4.3,5.0,5.0,3.2,3.5,4.1
91,レバノン,中東・北アフリカ,4.0,4.9,2.3,4.0,4.3,4.1
92,パナマ,アメリカ大陸,4.7,4.3,5.0,3.6,3.6,4.2
93,チュニジア,中東・北アフリカ,4.8,4.7,5.0,3.2,3.9,4.2
94,エチオピア,アフリカ大陸,4.8,5.0,5.0,2.9,3.9,4.2
95,ミャンマー,アジア太平洋,4.6,4.1,5.0,3.8,3.6,4.2
96,アルジェリア,中東・北アフリカ,4.7,4.8,5.0,3.4,3.6,4.2
97,アンゴラ,アフリカ大陸,4.5,4.3,5.0,3.8,3.9,4.2
98,ドミニカ,アメリカ大陸,4.6,4.9,5.0,3.4,3.6,4.2
99,タンザニア,アフリカ大陸,4.4,5.0,5.0,3.4,4.2,4.3
100,ベラルーシ,ヨーロッパ,4.6,4.7,5.0,3.8,4.0,4.3
101,モザンビーク,アフリカ大陸,4.7,4.5,5.0,4.0,4.0,4.4
102,グァテマラ,アメリカ大陸,4.7,4.7,5.0,4.1,3.9,4.4
103,イラク,中東・北アフリカ,4.6,5.0,5.0,3.9,4.5,4.5
104,コートジボワール,アフリカ大陸,4.9,5.0,5.0,3.7,4.5,4.5
105,ベネズエラ,アメリカ大陸,4.5,4.5,4.8,4.6,4.3,4.5
106,セネガル,アフリカ大陸,4.9,5.0,5.0,3.8,4.5,4.5
107,ジブチ,中東・北アフリカ,4.8,5.0,5.0,4.0,4.4,4.6
108,ホンジュラス,アメリカ大陸,4.7,4.9,5.0,4.2,4.2,4.6
109,リビア,中東・北アフリカ,4.7,5.0,5.0,4.4,4.6,4.7
